EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29205,41,No,Travel_Frequently,Research & Development,10,3,Human Resources,1,Male,4,2,Manager,4,Single,43254,9,No,11,3,4,2,10,5,3,12,0,1,16
29206,54,No,Travel_Frequently,Research & Development,24,1,Life Sciences,1,Male,3,3,Research Scientist,4,Divorced,177906,6,Yes,24,3,2,1,38,6,1,32,5,10,1
29207,43,No,Non-Travel,Human Resources,4,2,Marketing,1,Female,1,3,Manager,1,Divorced,70890,4,Yes,15,3,4,0,31,0,1,33,6,10,1
29208,21,No,Travel_Frequently,Research & Development,3,5,Marketing,4,Male,4,5,Sales Executive,4,Married,53364,0,No,11,3,2,1,34,1,1,8,12,13,1
29209,55,No,Travel_Frequently,Human Resources,24,3,Medical,1,Male,2,5,Manager,4,Married,220357,7,No,20,3,1,2,33,6,3,39,2,14,17
29210,52,No,Travel_Frequently,Research & Development,7,3,Marketing,4,Female,2,1,Healthcare Representative,1,Married,86781,0,No,12,3,1,1,24,5,2,34,6,2,0
29211,28,No,Travel_Frequently,Research & Development,14,2,Marketing,3,Male,1,3,Manufacturing Director,1,Single,123914,7,No,15,3,2,2,27,2,1,39,3,6,2
29212,53,No,Non-Travel,Human Resources,19,2,Human Resources,1,Male,3,5,Human Resources,4,Single,222877,2,No,13,3,2,3,21,4,4,19,10,7,0
29213,42,No,Non-Travel,Research & Development,23,1,Life Sciences,3,Female,4,4,Manager,4,Married,150530,5,No,20,3,3,1,28,5,3,5,7,14,17
29214,37,Yes,Travel_Rarely,Sales,1,1,Technical Degree,3,Male,4,4,Human Resources,4,Single,237805,3,Yes,18,3,4,0,0,2,3,29,18,4,13
29215,18,No,Travel_Frequently,Human Resources,20,2,Medical,2,Male,3,3,Research Scientist,1,Married,107856,4,No,19,3,3,0,37,4,3,18,13,14,12
29216,47,Yes,Travel_Frequently,Research & Development,6,5,Technical Degree,1,Male,1,3,Laboratory Technician,1,Single,133415,5,No,22,3,1,1,37,0,3,15,11,6,11
29217,21,No,Travel_Rarely,Research & Development,3,2,Marketing,4,Female,2,4,Research Scientist,1,Married,80856,5,No,16,3,3,3,5,6,2,12,12,12,11
29218,40,No,Travel_Frequently,Human Resources,29,5,Human Resources,2,Female,4,3,Manufacturing Director,3,Single,31450,8,No,25,3,3,3,40,1,2,2,15,10,14
29219,52,No,Travel_Frequently,Sales,28,1,Medical,1,Female,2,2,Human Resources,3,Divorced,78099,6,Yes,12,3,3,2,39,1,4,21,16,14,15
29220,59,No,Travel_Frequently,Human Resources,3,1,Other,4,Male,1,2,Manager,3,Married,37678,3,No,20,4,2,3,30,5,3,26,7,10,10
29221,39,No,Travel_Frequently,Human Resources,12,3,Other,2,Male,1,3,Sales Executive,3,Single,168926,2,No,14,3,1,0,34,2,3,30,10,13,7
29222,48,No,Travel_Rarely,Sales,1,5,Life Sciences,2,Male,1,1,Research Scientist,1,Single,130698,4,Yes,21,3,3,0,40,2,4,36,10,3,11
29223,18,No,Travel_Frequently,Human Resources,19,5,Life Sciences,4,Female,2,3,Human Resources,2,Married,228679,6,No,18,3,2,0,35,1,3,13,18,2,9
29224,21,Yes,Travel_Frequently,Human Resources,10,1,Technical Degree,4,Male,3,5,Healthcare Representative,2,Single,233949,6,No,11,4,2,1,40,2,2,34,15,14,5
29225,36,Yes,Travel_Rarely,Sales,9,2,Life Sciences,4,Male,1,5,Human Resources,1,Married,53002,2,No,12,3,2,3,15,3,2,25,10,7,8
29226,47,Yes,Non-Travel,Research & Development,26,2,Technical Degree,2,Male,1,4,Research Scientist,1,Divorced,126585,6,No,16,3,4,0,4,5,3,37,17,14,5
29227,18,No,Travel_Frequently,Research & Development,20,1,Human Resources,1,Male,2,5,Manufacturing Director,2,Single,105829,6,No,17,3,2,2,22,5,1,30,17,2,7
29228,36,No,Travel_Rarely,Research & Development,18,3,Medical,4,Male,1,4,Manufacturing Director,3,Married,229934,6,No,17,3,4,0,33,6,3,30,3,10,8
29229,38,No,Non-Travel,Sales,7,4,Technical Degree,4,Male,2,3,Manager,2,Married,140160,2,Yes,14,3,1,2,28,0,1,8,17,6,16
29230,39,No,Travel_Frequently,Research & Development,5,1,Life Sciences,1,Male,1,2,Manager,4,Divorced,110061,9,No,15,4,2,1,6,6,4,21,12,0,4
29231,19,No,Travel_Frequently,Human Resources,28,2,Medical,1,Male,2,5,Manager,4,Married,214653,8,No,12,3,2,0,18,1,4,20,7,1,6
29232,23,No,Travel_Rarely,Human Resources,23,4,Marketing,1,Female,4,1,Healthcare Representative,4,Single,184223,4,Yes,11,3,2,2,5,6,4,16,13,0,4
29233,38,No,Non-Travel,Sales,28,3,Human Resources,3,Female,4,5,Research Scientist,4,Divorced,100774,1,No,13,4,2,3,18,5,1,18,12,6,17
29234,50,No,Travel_Frequently,Sales,7,2,Marketing,3,Female,4,4,Healthcare Representative,1,Divorced,102387,9,No,17,3,3,0,21,0,1,10,15,2,3
29235,36,No,Travel_Rarely,Human Resources,17,3,Life Sciences,3,Male,4,4,Sales Executive,4,Single,78139,8,No,13,3,4,1,14,4,1,27,10,9,8
29236,44,No,Travel_Rarely,Sales,7,2,Technical Degree,2,Male,2,5,Human Resources,2,Married,40789,2,No,17,3,1,2,32,0,2,21,8,3,13
29237,54,No,Non-Travel,Research & Development,8,2,Life Sciences,1,Male,1,3,Laboratory Technician,1,Divorced,145955,9,No,22,3,3,3,40,4,3,4,11,12,10
29238,46,No,Travel_Rarely,Research & Development,24,3,Technical Degree,4,Female,1,3,Manager,1,Married,17080,7,No,21,3,2,3,28,5,1,15,8,9,14
29239,45,No,Travel_Rarely,Human Resources,16,4,Marketing,3,Male,4,2,Manager,2,Married,200132,9,Yes,17,3,3,0,29,5,4,3,4,10,2
29240,51,No,Travel_Frequently,Human Resources,20,5,Marketing,2,Female,3,1,Human Resources,1,Single,78376,6,No,24,3,1,0,10,5,2,9,12,10,15
29241,18,No,Non-Travel,Sales,10,5,Human Resources,2,Female,1,1,Manager,3,Divorced,132144,4,No,10,3,3,3,18,0,1,3,5,4,12
29242,42,No,Travel_Rarely,Sales,12,4,Human Resources,4,Female,1,4,Sales Executive,4,Married,20317,5,No,22,4,4,0,9,2,1,35,1,11,15
29243,38,No,Travel_Frequently,Sales,29,2,Technical Degree,4,Male,4,2,Sales Executive,1,Married,56713,8,Yes,20,3,3,2,0,1,1,15,17,7,4
29244,51,No,Non-Travel,Research & Development,22,2,Medical,3,Male,2,4,Research Scientist,1,Married,133914,4,Yes,19,3,4,1,6,0,3,31,4,9,16
29245,43,No,Travel_Rarely,Human Resources,12,1,Marketing,3,Male,3,3,Manufacturing Director,4,Married,63805,6,No,14,4,2,2,4,1,3,30,14,8,15
29246,53,No,Travel_Rarely,Research & Development,30,2,Technical Degree,2,Female,4,3,Healthcare Representative,2,Divorced,176956,5,No,24,3,2,0,5,6,4,19,14,8,4
29247,52,Yes,Travel_Rarely,Human Resources,13,5,Human Resources,1,Male,3,2,Research Scientist,1,Divorced,119157,8,No,16,3,3,0,25,5,3,23,12,10,7
29248,40,No,Travel_Frequently,Sales,20,4,Life Sciences,1,Male,4,5,Human Resources,2,Married,151697,0,Yes,20,3,1,0,0,4,1,19,5,4,5
29249,34,No,Travel_Frequently,Research & Development,2,2,Marketing,1,Male,4,4,Research Scientist,1,Single,236747,4,No,12,3,4,3,10,3,1,14,17,2,0
29250,59,No,Travel_Frequently,Research & Development,9,1,Marketing,4,Female,3,2,Healthcare Representative,2,Single,106986,9,No,16,3,4,3,31,5,1,30,6,8,6
29251,29,No,Travel_Frequently,Sales,3,2,Marketing,4,Male,1,2,Healthcare Representative,2,Divorced,133332,9,No,14,3,2,0,11,4,2,4,4,2,17
29252,37,No,Travel_Frequently,Sales,15,4,Life Sciences,1,Female,4,4,Human Resources,4,Married,154875,3,No,13,3,2,1,10,4,4,12,3,12,11
29253,56,No,Travel_Frequently,Sales,6,3,Technical Degree,3,Female,3,2,Laboratory Technician,3,Divorced,181486,5,Yes,24,3,3,2,40,3,2,13,16,14,13
29254,44,Yes,Travel_Rarely,Sales,8,3,Other,4,Male,2,5,Research Scientist,2,Married,41173,6,No,15,3,3,2,19,1,2,37,8,11,13
29255,59,Yes,Travel_Rarely,Research & Development,21,2,Other,3,Male,3,5,Healthcare Representative,2,Single,249917,1,No,24,3,4,2,31,1,3,39,17,0,13
29256,54,Yes,Non-Travel,Research & Development,15,1,Technical Degree,4,Female,3,3,Sales Executive,2,Divorced,68069,3,No,22,3,1,0,4,5,4,9,16,15,9
29257,37,No,Travel_Rarely,Research & Development,19,2,Other,1,Female,4,5,Human Resources,4,Divorced,225241,5,No,21,3,4,3,9,6,4,0,16,1,1
29258,28,No,Non-Travel,Human Resources,8,3,Life Sciences,4,Male,3,1,Laboratory Technician,1,Married,149433,6,Yes,11,3,4,1,7,3,4,26,9,5,8
29259,45,No,Non-Travel,Human Resources,23,3,Medical,2,Female,4,3,Healthcare Representative,2,Single,162168,2,No,19,3,2,1,19,2,1,20,17,12,5
29260,19,No,Travel_Rarely,Sales,26,3,Technical Degree,3,Male,1,5,Research Scientist,3,Divorced,38299,1,No,20,3,4,2,11,3,2,19,15,7,15
29261,41,No,Non-Travel,Sales,12,4,Medical,4,Female,4,1,Manager,2,Single,236104,9,Yes,19,3,3,3,10,1,3,39,16,10,17
29262,33,No,Non-Travel,Sales,15,4,Marketing,4,Male,2,2,Sales Executive,3,Married,249232,2,No,23,4,3,0,22,0,4,9,10,13,11
29263,29,No,Non-Travel,Research & Development,14,1,Other,4,Male,3,3,Healthcare Representative,1,Divorced,19118,1,No,23,3,4,3,6,1,2,18,1,4,1
29264,33,No,Travel_Rarely,Sales,21,3,Medical,3,Male,4,3,Manufacturing Director,1,Married,82836,8,No,23,3,2,0,6,1,4,38,18,0,13
29265,53,No,Travel_Frequently,Research & Development,7,4,Other,4,Female,2,5,Sales Executive,3,Married,44355,8,No,23,3,4,2,20,6,1,11,8,6,17
29266,19,No,Travel_Frequently,Sales,17,1,Marketing,1,Male,3,5,Sales Executive,2,Divorced,151805,5,Yes,14,3,4,2,28,6,1,16,13,6,9
29267,42,No,Travel_Frequently,Sales,27,3,Human Resources,3,Female,1,3,Human Resources,1,Divorced,188173,1,No,17,3,1,2,29,5,1,26,2,4,1
29268,46,Yes,Travel_Frequently,Research & Development,18,2,Other,4,Male,2,2,Research Scientist,2,Single,118878,7,No,21,3,1,0,24,4,3,25,6,10,3
29269,45,Yes,Non-Travel,Human Resources,27,2,Technical Degree,2,Male,1,3,Research Scientist,4,Married,229734,7,No,19,3,2,3,11,3,1,11,0,1,15
29270,27,No,Travel_Frequently,Sales,9,3,Human Resources,4,Female,3,4,Manufacturing Director,4,Single,73625,5,No,14,3,2,2,23,4,2,20,15,3,5
29271,40,No,Non-Travel,Research & Development,18,4,Marketing,2,Female,4,4,Manager,4,Divorced,215573,6,No,25,3,3,0,30,1,1,30,12,10,10
29272,49,No,Travel_Frequently,Research & Development,15,3,Technical Degree,1,Male,2,4,Sales Executive,1,Married,114126,9,No,15,3,1,1,31,6,2,12,12,0,7
29273,48,No,Travel_Frequently,Research & Development,18,3,Life Sciences,1,Male,4,3,Human Resources,3,Married,194612,3,No,18,3,2,2,5,2,4,30,4,11,6
29274,36,No,Non-Travel,Research & Development,16,4,Technical Degree,4,Male,3,1,Research Scientist,4,Single,119416,7,Yes,17,4,4,1,11,1,2,14,18,13,5
29275,32,Yes,Non-Travel,Research & Development,26,1,Human Resources,3,Male,1,2,Manager,4,Single,214727,3,No,17,3,2,2,19,1,2,31,15,9,10
29276,50,No,Travel_Frequently,Human Resources,26,1,Medical,3,Male,2,3,Laboratory Technician,4,Married,172107,6,Yes,11,4,4,3,11,3,4,33,4,12,11
29277,34,Yes,Travel_Frequently,Human Resources,20,3,Other,4,Male,3,2,Manager,2,Single,137095,6,Yes,12,3,3,1,35,2,1,27,7,6,1
29278,53,No,Travel_Frequently,Sales,26,2,Life Sciences,2,Male,3,1,Manufacturing Director,3,Divorced,22698,5,No,20,3,4,3,36,6,3,34,1,15,6
29279,37,Yes,Non-Travel,Human Resources,19,3,Human Resources,2,Male,2,2,Human Resources,2,Married,26754,3,Yes,24,3,3,3,37,2,1,27,12,5,17
29280,26,No,Non-Travel,Research & Development,7,1,Medical,2,Female,2,4,Laboratory Technician,4,Divorced,214024,9,Yes,10,3,3,1,25,5,4,26,6,0,12
29281,55,No,Non-Travel,Human Resources,13,5,Medical,4,Male,2,5,Healthcare Representative,1,Single,99106,2,No,16,3,1,3,1,6,4,4,6,3,4
29282,20,No,Non-Travel,Sales,24,2,Medical,1,Male,1,3,Manager,3,Single,54661,1,No,15,3,4,0,20,4,3,8,5,0,0
29283,19,Yes,Travel_Frequently,Sales,29,2,Life Sciences,2,Male,2,2,Sales Executive,3,Single,73072,7,Yes,20,3,3,0,18,1,4,5,4,15,5
29284,35,No,Non-Travel,Human Resources,10,3,Life Sciences,4,Male,1,5,Laboratory Technician,3,Married,57460,1,No,17,3,3,2,9,6,2,3,4,13,4
29285,40,No,Non-Travel,Research & Development,25,4,Life Sciences,2,Female,3,3,Healthcare Representative,4,Married,72645,0,No,14,3,1,1,8,6,3,4,17,11,2
29286,36,No,Non-Travel,Human Resources,10,5,Other,2,Male,1,5,Manufacturing Director,4,Married,62046,3,Yes,20,3,4,3,9,2,3,26,18,10,3
29287,24,No,Travel_Rarely,Research & Development,1,4,Human Resources,1,Male,4,1,Healthcare Representative,4,Single,60392,0,No,17,3,2,1,10,3,3,10,3,3,15
29288,52,No,Travel_Rarely,Sales,2,4,Technical Degree,2,Male,4,5,Sales Executive,1,Divorced,153985,4,Yes,19,3,3,2,9,1,3,18,13,12,2
29289,37,No,Travel_Frequently,Sales,4,2,Human Resources,4,Male,3,1,Sales Executive,2,Divorced,77435,2,No,20,3,2,0,18,6,4,30,3,6,0
29290,37,No,Travel_Frequently,Research & Development,7,3,Other,3,Female,1,2,Research Scientist,2,Single,129691,6,Yes,11,3,3,3,14,4,2,30,15,4,1
29291,36,Yes,Travel_Frequently,Human Resources,15,3,Human Resources,2,Male,2,3,Sales Executive,2,Divorced,207201,6,No,22,4,2,1,5,1,1,35,3,5,16
29292,58,No,Travel_Frequently,Sales,22,1,Human Resources,4,Male,2,4,Manufacturing Director,3,Divorced,115113,9,Yes,20,3,2,0,15,3,4,9,17,15,4
29293,33,No,Travel_Frequently,Sales,8,1,Technical Degree,3,Male,2,3,Laboratory Technician,1,Divorced,32390,1,Yes,14,3,2,1,4,3,4,4,18,12,0
29294,55,No,Travel_Rarely,Human Resources,28,2,Technical Degree,1,Male,1,2,Manager,2,Married,216495,3,No,25,3,3,3,15,2,4,6,0,8,6
29295,38,Yes,Travel_Rarely,Human Resources,9,3,Human Resources,1,Female,4,5,Sales Executive,4,Divorced,17216,4,No,23,3,4,2,32,1,4,3,2,4,12
29296,46,No,Travel_Frequently,Sales,17,1,Medical,2,Male,4,3,Sales Executive,3,Married,97165,6,Yes,20,3,2,2,29,6,2,8,2,12,12
29297,55,Yes,Travel_Rarely,Human Resources,29,2,Other,2,Male,1,4,Manager,4,Divorced,220302,5,No,20,3,4,1,20,6,2,19,2,6,10
29298,41,Yes,Travel_Frequently,Human Resources,16,2,Other,4,Female,1,1,Manager,1,Married,225470,5,Yes,13,3,2,3,34,6,3,1,10,5,6
29299,54,No,Non-Travel,Human Resources,29,1,Life Sciences,1,Female,4,2,Laboratory Technician,2,Married,153480,6,No,24,3,3,3,35,4,2,2,18,10,3
29300,46,No,Travel_Frequently,Research & Development,18,1,Medical,4,Female,3,5,Sales Executive,2,Married,33476,0,Yes,15,3,1,3,37,2,3,0,0,4,12
29301,48,No,Travel_Frequently,Sales,22,2,Human Resources,4,Male,3,2,Sales Executive,4,Single,90878,7,No,23,3,4,2,25,3,1,17,16,7,2
29302,56,No,Non-Travel,Research & Development,20,4,Human Resources,1,Female,4,1,Research Scientist,4,Divorced,52327,0,No,23,3,1,3,32,6,3,14,7,6,8
29303,29,No,Non-Travel,Research & Development,11,4,Human Resources,4,Male,1,3,Laboratory Technician,2,Married,121614,3,No,12,3,1,0,10,4,2,40,11,8,3
29304,47,Yes,Non-Travel,Research & Development,25,3,Other,4,Male,3,5,Healthcare Representative,1,Married,234403,1,No,21,3,1,0,3,2,2,23,2,11,10
29305,21,No,Travel_Frequently,Research & Development,16,3,Technical Degree,2,Female,3,1,Research Scientist,1,Married,236572,3,Yes,11,3,3,3,20,5,4,3,18,15,13
29306,47,Yes,Travel_Frequently,Sales,10,2,Other,3,Male,3,4,Human Resources,1,Divorced,103878,6,No,23,3,4,1,34,2,4,8,4,6,17
29307,22,No,Non-Travel,Research & Development,24,4,Life Sciences,1,Female,2,3,Human Resources,2,Married,210814,8,No,18,3,2,0,2,0,2,28,5,1,5
29308,33,Yes,Travel_Frequently,Sales,14,4,Marketing,4,Female,4,2,Sales Executive,3,Divorced,223913,5,Yes,14,3,2,3,19,4,2,23,13,7,9
29309,44,No,Travel_Rarely,Research & Development,14,4,Human Resources,1,Female,3,4,Research Scientist,4,Divorced,182853,0,No,25,3,3,2,3,6,4,33,15,11,4
29310,21,No,Travel_Rarely,Human Resources,5,5,Other,3,Female,3,5,Sales Executive,1,Single,135440,4,No,19,3,1,3,14,2,1,38,13,1,11
29311,25,No,Travel_Frequently,Research & Development,23,1,Technical Degree,2,Male,3,5,Manufacturing Director,1,Single,151179,0,Yes,24,3,4,2,15,6,3,26,15,13,17
29312,25,No,Travel_Rarely,Sales,6,2,Technical Degree,4,Male,2,2,Laboratory Technician,3,Single,225979,7,Yes,20,3,3,1,31,5,3,39,5,15,6
29313,34,No,Non-Travel,Human Resources,10,3,Life Sciences,1,Male,2,3,Human Resources,3,Divorced,29749,7,No,21,3,4,2,5,0,2,7,11,11,11
29314,20,No,Travel_Rarely,Research & Development,9,5,Other,2,Female,2,4,Healthcare Representative,2,Divorced,209507,3,No,10,3,4,0,15,5,2,38,12,6,13
29315,44,Yes,Travel_Frequently,Research & Development,16,1,Marketing,4,Female,1,5,Research Scientist,4,Single,127336,7,No,18,3,2,2,11,1,3,37,18,2,10
29316,51,No,Travel_Frequently,Sales,2,2,Marketing,4,Female,1,4,Laboratory Technician,1,Single,220416,8,No,12,3,4,2,9,0,2,22,3,12,7
29317,38,No,Travel_Frequently,Sales,10,1,Marketing,4,Female,1,4,Research Scientist,2,Married,213648,6,Yes,16,3,2,2,14,2,2,17,2,2,8
29318,60,Yes,Non-Travel,Human Resources,16,5,Life Sciences,2,Female,1,5,Manufacturing Director,4,Divorced,17242,7,Yes,20,3,1,1,35,4,1,6,4,1,16
29319,41,No,Travel_Frequently,Human Resources,12,4,Marketing,1,Male,3,3,Laboratory Technician,1,Married,155111,5,No,12,3,4,0,26,0,2,39,10,0,14
29320,58,No,Travel_Frequently,Human Resources,3,2,Other,1,Female,3,3,Healthcare Representative,4,Married,187712,0,No,12,3,2,2,1,0,1,27,3,7,0
29321,46,No,Non-Travel,Human Resources,7,3,Technical Degree,4,Female,3,1,Manager,4,Divorced,200468,8,Yes,12,3,3,0,34,6,1,38,6,7,14
29322,56,No,Travel_Frequently,Sales,24,1,Marketing,3,Female,4,2,Healthcare Representative,2,Single,55312,3,Yes,14,3,4,0,19,1,2,39,3,15,17
29323,23,No,Travel_Rarely,Human Resources,8,1,Medical,3,Male,4,3,Sales Executive,2,Divorced,232670,5,Yes,24,3,1,1,13,3,3,22,5,14,14
29324,31,No,Non-Travel,Human Resources,18,4,Marketing,2,Female,2,2,Sales Executive,2,Married,220542,1,Yes,19,4,4,2,36,5,4,12,12,1,6
29325,31,No,Non-Travel,Human Resources,11,5,Technical Degree,1,Female,1,3,Sales Executive,3,Divorced,233402,4,No,21,3,2,2,23,4,1,39,14,3,13
29326,54,No,Travel_Rarely,Research & Development,23,4,Marketing,3,Female,4,5,Healthcare Representative,4,Married,209559,7,No,18,3,3,3,37,6,1,37,3,13,6
29327,41,No,Travel_Frequently,Human Resources,25,4,Technical Degree,3,Female,1,3,Healthcare Representative,2,Divorced,104827,6,No,11,3,2,0,27,4,3,37,16,1,11
29328,30,No,Travel_Rarely,Human Resources,10,3,Life Sciences,4,Female,2,4,Human Resources,1,Single,124056,6,No,13,4,2,1,14,6,1,5,3,0,7
29329,18,No,Travel_Frequently,Sales,13,5,Technical Degree,3,Female,2,4,Human Resources,4,Single,98832,9,No,24,3,1,3,6,3,4,7,18,10,7
29330,29,No,Travel_Frequently,Human Resources,3,3,Marketing,3,Male,4,2,Research Scientist,4,Married,122621,5,No,19,3,3,3,5,5,1,20,3,0,2
29331,59,No,Travel_Rarely,Research & Development,27,3,Life Sciences,1,Male,1,5,Research Scientist,4,Single,72498,2,Yes,20,4,4,3,22,6,3,2,1,10,16
29332,41,No,Non-Travel,Sales,14,4,Technical Degree,1,Female,1,4,Manager,3,Single,75087,5,No,12,3,1,1,20,5,2,3,14,6,16
29333,54,No,Non-Travel,Human Resources,25,4,Other,2,Female,1,3,Human Resources,1,Married,132474,4,No,11,3,4,2,9,4,3,36,4,9,11
29334,37,Yes,Travel_Rarely,Sales,21,1,Human Resources,1,Female,3,1,Healthcare Representative,4,Divorced,122845,5,No,22,3,1,0,16,5,2,32,3,1,8
29335,23,No,Travel_Frequently,Human Resources,3,1,Medical,2,Male,3,2,Healthcare Representative,3,Single,65024,5,No,19,3,1,2,1,5,4,35,1,8,1
29336,29,No,Travel_Frequently,Research & Development,23,4,Marketing,2,Male,3,4,Laboratory Technician,1,Single,153299,8,No,24,4,3,0,31,4,2,18,11,6,5
29337,38,Yes,Non-Travel,Human Resources,30,5,Marketing,4,Female,2,5,Laboratory Technician,1,Married,238810,7,No,21,3,3,0,29,0,2,33,16,15,0
29338,20,No,Non-Travel,Human Resources,24,3,Life Sciences,1,Female,4,2,Human Resources,1,Married,20940,9,No,23,3,3,0,36,6,1,14,7,14,4
29339,44,No,Travel_Frequently,Research & Development,9,1,Marketing,1,Male,4,5,Laboratory Technician,2,Married,230399,4,No,20,3,1,3,37,1,3,32,11,0,0
29340,53,No,Travel_Rarely,Sales,21,3,Human Resources,3,Female,3,3,Manufacturing Director,4,Single,127430,1,Yes,11,3,1,0,12,6,4,0,1,0,12
29341,34,No,Non-Travel,Human Resources,12,5,Marketing,2,Male,2,4,Sales Executive,2,Married,186997,5,No,11,4,4,1,24,4,2,31,9,6,16
29342,32,No,Non-Travel,Sales,24,3,Other,3,Female,2,5,Healthcare Representative,2,Single,199985,8,Yes,10,3,3,1,15,3,3,7,15,5,7
29343,56,No,Travel_Frequently,Research & Development,14,2,Human Resources,2,Female,1,4,Sales Executive,2,Married,44556,3,No,21,3,3,1,10,0,2,22,8,6,5
29344,21,No,Non-Travel,Human Resources,17,4,Medical,3,Male,2,2,Sales Executive,3,Married,221003,8,No,23,3,4,2,21,0,2,18,6,11,5
29345,34,No,Non-Travel,Research & Development,16,1,Technical Degree,1,Female,2,3,Research Scientist,3,Married,112751,9,No,10,3,2,1,31,1,4,40,3,1,7
29346,55,No,Travel_Frequently,Research & Development,22,4,Marketing,3,Male,2,3,Manufacturing Director,4,Divorced,107654,5,Yes,23,3,2,1,0,4,3,5,5,14,9
29347,28,No,Non-Travel,Research & Development,16,1,Life Sciences,1,Male,4,5,Manufacturing Director,2,Single,203316,2,Yes,17,3,1,0,7,6,3,39,16,12,16
29348,29,No,Travel_Rarely,Human Resources,13,1,Marketing,3,Female,4,2,Human Resources,3,Single,30248,8,No,12,3,3,3,27,4,1,20,4,8,1
29349,49,No,Non-Travel,Sales,5,3,Marketing,2,Male,1,2,Healthcare Representative,4,Married,138629,0,Yes,13,3,3,1,31,3,4,38,7,10,4
29350,44,No,Travel_Frequently,Sales,21,5,Human Resources,4,Male,3,5,Laboratory Technician,3,Divorced,171778,6,Yes,15,3,1,2,27,1,2,8,8,15,7
29351,60,Yes,Non-Travel,Sales,29,1,Technical Degree,4,Male,1,4,Research Scientist,3,Divorced,231752,3,No,25,3,4,2,25,5,1,4,3,12,4
29352,44,No,Travel_Frequently,Research & Development,21,4,Medical,1,Male,4,3,Manufacturing Director,3,Single,228563,1,No,13,3,4,1,15,5,2,13,8,11,9
29353,57,No,Non-Travel,Human Resources,19,4,Life Sciences,3,Female,2,3,Healthcare Representative,4,Divorced,16372,3,No,23,3,1,3,35,1,2,16,4,10,1
29354,46,No,Travel_Frequently,Research & Development,4,1,Life Sciences,4,Female,2,4,Research Scientist,4,Divorced,207258,2,No,12,3,4,1,21,5,4,27,15,4,13
29355,26,No,Travel_Rarely,Sales,30,1,Human Resources,1,Female,4,1,Human Resources,3,Single,48735,4,No,17,3,3,3,40,2,4,37,5,1,16
29356,60,No,Travel_Frequently,Research & Development,25,1,Medical,3,Male,1,1,Manager,4,Divorced,146125,9,No,10,3,4,0,11,0,3,5,8,11,12
29357,20,Yes,Travel_Frequently,Human Resources,10,4,Human Resources,3,Female,4,4,Manager,4,Married,197603,8,No,16,3,1,2,24,5,4,33,3,8,11
29358,56,No,Travel_Rarely,Sales,20,2,Life Sciences,4,Male,1,5,Laboratory Technician,4,Single,121986,5,No,24,3,2,2,35,2,1,38,0,0,8
29359,46,Yes,Travel_Rarely,Research & Development,10,5,Medical,1,Female,2,5,Human Resources,4,Single,133991,5,No,11,3,3,1,27,5,3,39,12,8,17
29360,38,No,Non-Travel,Research & Development,30,1,Technical Degree,3,Female,1,1,Human Resources,4,Married,54875,6,Yes,12,3,3,1,38,6,1,39,3,4,17
29361,52,No,Non-Travel,Research & Development,14,5,Marketing,2,Female,1,5,Laboratory Technician,1,Divorced,87238,5,No,23,3,4,2,40,5,3,23,13,4,8
29362,27,No,Travel_Rarely,Research & Development,10,4,Medical,2,Male,2,1,Manufacturing Director,1,Divorced,60762,4,No,14,3,2,1,35,2,2,39,2,0,5
29363,40,No,Travel_Frequently,Human Resources,14,2,Technical Degree,4,Male,3,1,Human Resources,2,Single,142223,0,Yes,22,3,3,1,7,6,2,39,3,6,14
29364,56,No,Travel_Frequently,Human Resources,30,1,Other,2,Male,2,2,Sales Executive,3,Single,87546,7,No,16,3,2,2,27,0,2,39,16,4,15
29365,42,No,Travel_Frequently,Sales,19,1,Technical Degree,1,Female,2,3,Human Resources,3,Divorced,228589,5,No,15,3,3,2,21,5,4,39,3,2,11
29366,41,No,Travel_Frequently,Research & Development,30,2,Marketing,2,Male,4,2,Research Scientist,2,Divorced,240478,6,No,24,3,1,3,37,4,1,35,15,5,13
29367,37,No,Travel_Frequently,Sales,19,5,Human Resources,4,Male,4,5,Healthcare Representative,4,Single,27930,1,No,18,4,1,0,26,2,3,26,18,7,16
29368,32,No,Non-Travel,Human Resources,13,2,Medical,2,Female,2,4,Laboratory Technician,1,Divorced,109288,6,No,20,3,1,2,12,4,2,31,0,7,3
29369,38,No,Travel_Rarely,Human Resources,25,2,Other,3,Male,1,4,Healthcare Representative,2,Divorced,65239,4,No,15,3,4,1,15,6,4,5,0,14,8
29370,59,No,Travel_Frequently,Research & Development,19,1,Human Resources,3,Female,3,3,Human Resources,4,Divorced,169949,7,Yes,25,3,4,0,37,3,3,21,13,15,14
29371,29,No,Travel_Rarely,Research & Development,3,2,Human Resources,3,Female,2,1,Sales Executive,1,Single,216714,0,No,18,4,2,0,3,3,1,14,10,9,1
